"Abe, Kobo: The Ruined Map",685629
"Abe, Kobo: The Ark Sakura",2290593
"Abe, Kobo: Inter Ice Age 4",1898464
"Acker, Kathy: Empire of the Senseless",4731006
"Acker, Kathy: Pussy, King of the Pirates",1253843
"Ackroyd, Peter: Hawksmoor",1247274
"Ackroyd, Peter: Chatterton",1344491
"Ackroyd, Peter: The Plato Papers",18615
"Aldiss, Brian: Life in the West",795208
"Allende, Isabel: Of Love and Shadows",9223372036854775807
"Allende, Isabel: House of Spirits",2347
"Amis, Kingsley: The Alteration",609208
"Amis, Kingsley: The Green Man",219901
"Amis, Martin: Other People",3813
"Amis, Martin: Einstein's Monsters",1525590
"Amis, Martin: Time's Arrow",9223372036854775807
"Apple, Max: Zap",861265
"Apple, Max: The Oranging of America",1259509
"Atwood, Margaret: The Handmaids Tale",55
"Atwood, Margaret: The Blind Assassin",9223372036854775807
"Auster, Paul: City of Glass",71911
"Auster, Paul: In the Country of Last Things",9223372036854775807
"Bail, Murray: Eucalyptus",795577
